sale_date,product_id,product_name,product_category,product_subcategory,unit_price,quantity_sold,sale_country,sale_city
2001-02-10,3184974,both,economic,stay,512.3,51,Tuvalu,Frankport
1979-06-19,8998532,health,language,face,992.3,81,Moldova,Charleston
1978-12-20,2972645,baby,politics,agree,731.13,7,Faroe Islands,Lake Bradley
2015-08-29,2022624,serious,second,tree,459.48,57,Palestinian Territory,Ramirezshire
1975-06-17,7711061,notice,occur,simply,667.95,61,Botswana,South Matthewstad
2015-08-29,9133807,guess,natural,friend,698.41,57,Monaco,West Tylerfurt
1974-09-22,7951186,rock,charge,serious,35.34,100,United States Virgin Islands,South Evelynville
1995-11-24,8157273,my,talk,meeting,925.01,2,Ukraine,Olsonton
1995-09-15,1158622,sea,keep,meeting,822.93,25,San Marino,Lake Angelaport
1990-12-15,4377251,car,recently,central,81.24,25,Tajikistan,South Travis
2014-07-17,3505800,amount,box,reason,233.7,14,South Georgia and the South Sandwich Islands,Lake John
2016-11-10,1860458,inside,role,some,499.52,79,Brazil,New Jasonfurt
1997-02-23,4259563,middle,rule,across,785.32,70,Heard Island and McDonald Islands,South Crystal
2003-02-15,1579615,situation,again,reduce,442.33,30,Canada,Perrybury
1982-10-25,7178364,cell,fill,subject,42.73,7,Vietnam,Kristenberg
1990-08-14,5847100,describe,common,system,52.93,5,Portugal,Lake Jamiemouth
1999-10-12,2106486,different,become,Congress,364.1,40,Saint Martin,Fletchertown
2021-10-24,3552818,indicate,member,management,72.52,71,Tonga,Salazarhaven
1999-07-04,4706477,minute,next,eight,301.32,38,Niger,South Lindaview
1998-10-07,6618969,care,American,song,357.66,97,Italy,Lutztown
2012-03-24,8840633,way,nice,ago,306.16,36,Zimbabwe,North Johnberg
2006-09-01,2462441,radio,develop,situation,512.49,5,Mexico,Brooksville
1973-08-22,3243233,manager,all,environmental,242.14,84,Lesotho,Martinshire
1994-11-21,6233579,recent,help,federal,186.48,8,Afghanistan,Dunnside
1979-06-13,9797969,believe,agreement,concern,513.25,100,Hungary,New Javierland
2010-05-25,8659839,start,standard,difficult,563.25,27,Korea,Thomaston
1984-07-22,1976239,statement,area,wonder,221.32,31,Monaco,Cassidyside
1984-09-07,605246,have,much,what,786.8,15,Greenland,Taylorburgh
2021-11-01,7699357,else,sure,mother,519.68,52,Norfolk Island,Wallaceview
2018-03-05,1620878,window,close,far,365.68,34,Marshall Islands,Lake Sarahborough
1974-03-21,4500753,thus,clearly,live,124.82,19,Netherlands,East Joe
2015-09-26,7145541,effect,measure,month,752.24,98,Falkland Islands (Malvinas),South Janiceton
2008-09-13,3833103,camera,tonight,subject,730.31,96,Zambia,Brownmouth
1981-12-06,6204716,including,level,put,929.22,81,Gibraltar,New Johnport
2015-12-11,9245592,young,help,cost,497.94,16,Saint Helena,Wadefort
1979-06-14,8600596,opportunity,nothing,win,539.78,96,Afghanistan,Lisahaven
1981-07-21,4396415,time,one,edge,444.99,24,Mauritania,Nicholsshire
2016-05-10,2640116,card,fast,child,821.85,41,Guyana,Donaldside
2015-02-04,3721360,board,opportunity,whom,240.55,26,Philippines,Albertburgh
2022-04-03,6870870,cover,role,western,618.39,53,Germany,Cherylmouth
1984-11-29,8131214,time,up,bar,108.49,41,Haiti,East Karen
2015-10-17,2805318,head,risk,amount,782.45,58,Azerbaijan,Martinbury
1990-03-12,7093762,crime,skin,toward,403.03,59,Honduras,Lake Markmouth
2015-08-03,7573283,speech,dream,action,660.13,13,Niger,Port Laurenfurt
2022-01-01,4833540,another,he,event,986.35,72,Niger,New Julia
2000-07-16,2808018,lay,former,sort,536.14,74,Bhutan,North Bradley
1970-10-04,6802585,father,first,poor,14.69,15,Andorra,Lake Markhaven
2017-10-18,7263827,trade,toward,office,292.94,71,Pitcairn Islands,Baileybury
1970-10-23,9745043,adult,hour,nation,795.22,12,Ireland,West Kenneth
1984-11-08,2357800,since,hospital,series,74.05,67,Hong Kong,Jessicamouth
1987-09-19,5978114,most,little,business,275.94,66,Nepal,Danielmouth
1976-12-07,2370622,minute,vote,need,346.11,33,Belize,West Micheal
1979-08-05,4947503,ability,inside,economy,587.29,73,Denmark,Port Jeanne
2000-09-20,3475909,air,your,back,423.58,98,Latvia,Bryanport
1975-11-26,2343543,color,say,money,262.81,43,Iraq,Michelechester
1979-03-18,3194423,eight,goal,watch,968.96,61,Algeria,New Jenniferberg
1977-06-15,6834034,hundred,school,certain,812.2,91,Saint Martin,Laurafurt
1972-09-26,9849155,north,make,police,584.75,48,Iran,New Arthur
1982-12-29,9827699,direction,voice,wish,756.72,8,Nauru,Danielside
1988-01-08,9505058,in,window,environment,684.84,62,Guatemala,Mooreberg
1985-12-07,4079482,evening,mind,role,269.49,64,Cuba,Lake Angelaberg
1971-09-02,8891150,through,plan,go,953.36,59,Greenland,Port Larry
2023-05-05,8738800,some,place,create,268.56,50,Antarctica (the territory South of 60 deg S),Harrisfort
1999-10-21,2428374,hospital,beat,number,459.3,46,Bangladesh,Arroyoview
2015-09-20,3798166,plant,rich,form,67.08,32,Japan,Willieborough
1992-11-29,6931972,nor,say,speak,158.69,47,Mayotte,Christinashire
2003-08-08,1720785,himself,thing,up,888.65,14,Comoros,North Desiree
2016-01-13,5498583,decision,they,night,210.72,37,Turkey,Port Marilyn
1987-09-01,3395242,usually,writer,sense,996.7,51,Benin,Victorchester
2020-07-16,7665655,player,appear,young,464.44,35,Andorra,Markhaven
1986-10-03,2614313,environmental,PM,quite,969.37,80,Guinea-Bissau,Edwardton
2005-12-09,9987453,television,others,and,578.55,17,Wallis and Futuna,New Robert
1990-03-22,3417118,possible,sing,keep,411.1,26,Botswana,Millerside
1975-12-12,997624,he,newspaper,glass,198.08,23,Ukraine,West Mary
2001-04-24,1424986,without,try,every,402.22,86,El Salvador,Lake Joshua
2004-03-07,9392388,Mrs,sound,now,126.55,49,Jordan,Ortizchester
1970-01-31,5028480,marriage,history,add,727.36,48,Morocco,Port Ashleyton
1998-02-23,8846744,young,lot,kid,470.85,17,Barbados,Christophermouth
1998-05-03,8551086,wind,evening,morning,675.92,76,Portugal,East Carriefort
2021-11-08,3893824,after,sport,treat,714.68,72,United States Minor Outlying Islands,Leeland
2002-12-18,7114057,social,three,middle,853.44,98,Romania,Boydberg
2000-10-06,4857687,share,past,attorney,739.22,86,Kyrgyz Republic,Port Susanborough
1997-09-26,4226113,serious,benefit,radio,841.43,49,Andorra,Jorgeville
2006-03-23,1969699,property,her,plant,732.07,84,Ethiopia,North Jesseville
1973-01-13,1778673,five,student,ability,983.35,87,Gambia,Kevinport
1977-04-29,4186439,soon,magazine,news,194.45,35,Azerbaijan,West David
2000-01-03,6369640,quality,expect,condition,398.91,57,Bhutan,Melissashire
2022-12-18,5200732,nearly,leave,watch,486.85,18,Sri Lanka,Walshland
1980-06-03,6492979,floor,best,guy,225.05,60,Mauritius,Josephside
2011-07-29,3687671,and,rise,fine,11.7,22,Madagascar,Smithmouth
2006-05-16,3122505,place,staff,particular,114.84,16,Italy,North Elizabeth
1992-12-07,8891846,partner,identify,room,404.09,63,Equatorial Guinea,Port Kathleen
1999-03-23,1431207,both,lead,where,87.49,4,Sweden,Port Amy
1980-02-10,5055593,knowledge,score,behavior,944.07,23,Belize,Ruizton
2010-04-07,3177382,eye,past,appear,753.7,75,Guernsey,Johnmouth
2008-07-29,7240174,once,top,blue,420.37,99,Lebanon,Maryberg
2019-12-28,7206805,should,dinner,treatment,18.88,35,Liechtenstein,North Thomaschester
1975-02-14,1930335,lose,tend,a,849.66,19,Hong Kong,Erikstad
2014-10-21,9239969,product,can,low,515.73,99,Guyana,Gardnerborough
2017-09-19,9197461,discuss,group,heart,420.8,28,Nepal,Port Cathyville
2014-07-24,474233,hair,be,trade,613.2,21,Tajikistan,Lake Robert
1986-03-22,7020699,fact,response,six,442.97,57,Hong Kong,South Yolanda
1984-11-08,2122294,reason,for,kid,827.51,60,French Guiana,East Justinbury
1999-09-03,5698377,service,region,building,372.03,60,Bolivia,Lake Lauren
2013-08-08,3279990,likely,will,hundred,746.67,24,Grenada,North Colleen
1985-03-08,9698853,three,realize,institution,793.86,30,North Macedonia,Lake Wendy
2006-01-18,9296210,news,step,action,881.96,44,Guadeloupe,West Brianfurt
2009-08-11,6761453,small,near,another,21.8,77,Serbia,Port Amandatown
2018-01-08,7317824,American,responsibility,accept,439.95,67,Egypt,New Travis
2017-12-17,7028753,price,money,strong,963.18,33,Sierra Leone,North Stephenberg
2002-12-19,544328,candidate,region,sing,362.56,16,Vietnam,Grahambury
2009-01-29,6827258,again,bed,itself,512.08,47,Vietnam,Port Shannonmouth
2020-04-22,3928494,set,daughter,example,332.58,65,Gabon,West Mark
1994-04-28,8261302,myself,professor,care,864.65,54,Guinea-Bissau,Ortizchester
2003-10-10,5287327,defense,nor,song,987.13,6,Libyan Arab Jamahiriya,Port Bryan
1970-03-25,3753100,agency,understand,tree,38.44,90,French Southern Territories,Wongmouth
2012-12-13,2720142,election,rich,then,895.32,2,Tonga,New Katherine
2019-12-24,4912298,school,structure,bed,108.46,43,Greenland,Harrisonmouth
2017-12-12,5942879,base,reduce,everyone,934.44,67,Iran,Owensport
1972-09-28,6141188,push,chance,appear,724.72,55,Switzerland,Port Vanessahaven
2014-02-01,4453947,age,yourself,traditional,97.1,45,Mozambique,North Edward
2002-05-27,9019895,foreign,house,wait,149.44,18,Macao,Jessicaland
2024-01-26,7691904,better,doctor,baby,849.45,53,Liberia,New Michael
1989-04-04,1731313,air,message,stuff,702.75,10,Panama,Ashleebury
1998-11-11,4999137,receive,section,marriage,948.5,49,Thailand,Lisaberg
2001-01-01,7344399,somebody,glass,dog,159.47,16,Solomon Islands,Port Cherylbury
1988-01-16,8057174,late,right,ten,908.62,40,Guyana,Shieldsmouth
1973-04-20,8904479,finish,deal,design,802.07,68,Guernsey,South Markhaven
1977-02-25,6479780,experience,administration,necessary,81.23,1,El Salvador,West Jessica
2023-01-05,9561031,teach,fish,sound,43.1,34,Serbia,Port Deborahton
2023-06-20,8716997,whether,family,information,232.81,57,Saint Barthelemy,South Kevin
1977-03-19,3696018,fear,rule,general,419.43,17,Saudi Arabia,Wernerville
1987-02-28,2491943,buy,real,we,279.78,14,Uruguay,Lake Wesleymouth
2011-02-23,2186152,also,our,chance,839.55,7,Mauritania,Wolfeton
2021-07-13,9763523,movie,family,environment,432.43,39,Niue,Andersonstad
1981-04-25,1692699,one,impact,occur,426.24,99,Nicaragua,Port John
2001-09-21,1336490,identify,so,war,622.33,41,Netherlands,Kennethmouth
2005-03-17,6080583,full,from,cover,277.09,26,Italy,South Brett
2012-04-21,9267787,wait,contain,green,314.75,82,Mauritania,Garciaburgh
1986-12-06,6453700,whether,still,help,539.85,49,Qatar,Port Jessicabury
1975-04-03,8597230,positive,this,newspaper,990.21,5,Martinique,Lake Jasonland
1973-08-08,6300778,of,more,but,282.55,38,Malta,Kimberlyshire
2022-12-14,8577248,class,capital,itself,635.94,82,Nicaragua,Blanchardville
2023-11-08,1808481,center,how,number,178.34,19,India,East Brookeview
1993-05-13,9519266,several,far,particularly,332.14,45,South Georgia and the South Sandwich Islands,Port Cameron
2020-04-13,4298371,the,seek,art,401.56,84,Svalbard & Jan Mayen Islands,Markmouth
1975-05-25,1879438,open,she,benefit,15.91,10,Benin,Vargasview
1987-11-30,637670,whom,suffer,scene,125.03,89,Pitcairn Islands,West Mariaberg
1989-04-22,6477029,within,either,which,160.85,36,Congo,Timothyville
2007-07-19,4093395,however,kitchen,cause,463.8,12,Egypt,West Ronald
1990-02-01,6257146,without,street,woman,364.19,57,Antigua and Barbuda,Tylerborough
2023-04-22,9881173,current,nature,son,293.74,69,Rwanda,Port Natasha
2001-04-25,6355410,without,family,movie,545.22,95,Russian Federation,Jamiemouth
2013-11-24,2379070,political,enjoy,against,382.92,32,Latvia,West Gregory
1991-06-05,3430464,set,him,clear,328.32,79,Bermuda,Murphyland
1980-06-14,5085337,medical,very,for,573.86,84,French Polynesia,North Danielle
2002-06-29,9919048,someone,of,need,753.97,59,Equatorial Guinea,Taylorshire
2000-06-14,54423,among,practice,full,411.54,84,Sudan,Cynthiaburgh
2014-10-22,6744796,whole,democratic,have,278.29,79,United Kingdom,West Amber
1988-12-15,1168250,hand,voice,theory,217.83,66,Croatia,North Karen
2003-01-03,4468525,improve,serve,bed,984.1,64,Norway,Sarahview
1992-04-04,5947049,tough,public,opportunity,154.1,14,Sao Tome and Principe,North Alexander
2022-03-28,5934071,stock,offer,only,928.34,47,Pitcairn Islands,Brandonburgh
2023-06-27,1553871,throughout,task,its,750.38,75,Oman,Lake Melissa
1987-12-17,8291213,address,score,group,875.94,73,Wallis and Futuna,Smithshire
1981-03-27,1866559,turn,several,help,222.92,46,Antarctica (the territory South of 60 deg S),Blackfurt
2019-12-02,9888091,feel,inside,center,81.93,13,Comoros,Hillbury
2002-12-15,2422588,wind,gun,culture,711.42,12,Madagascar,Johnshire
1995-05-01,8195878,day,still,to,513.89,53,Bouvet Island (Bouvetoya),South Matthewview
1992-02-13,7186929,serious,table,name,493.0,62,Mongolia,Bryantton
2009-09-18,113750,generation,already,word,39.7,48,Norfolk Island,Adamsberg
2009-02-13,2743281,project,team,less,379.2,70,Congo,South Connie
2005-05-21,7988340,win,church,sound,452.04,18,Bermuda,Lake Amandaport
2009-04-18,779392,history,might,wonder,569.38,31,Zimbabwe,Zamoramouth
2002-01-22,9348359,east,nor,practice,511.33,69,British Indian Ocean Territory (Chagos Archipelago),Danielstad
2008-02-27,6797015,apply,process,information,236.03,64,Svalbard & Jan Mayen Islands,Bennettview
2006-02-06,3525049,cover,care,whether,358.7,96,Iraq,Tonyton
1982-07-27,2346324,mother,radio,record,296.04,38,Cocos (Keeling) Islands,Port Ariana
1983-10-07,3185921,analysis,language,board,253.98,59,Israel,Vazquezmouth
2015-04-19,9196967,whether,pull,accept,304.48,28,Martinique,Riveraton
2019-02-17,7553545,cultural,red,again,696.04,13,Micronesia,North Monica
2011-05-29,9158012,teacher,production,employee,58.78,40,Kyrgyz Republic,Connorport
2016-09-24,7802370,morning,shoulder,indeed,812.9,78,Saint Martin,Jessicafurt
2004-12-12,105964,pull,former,relationship,855.47,96,Armenia,New Crystalfurt
1989-03-30,3292853,development,certainly,agent,45.08,48,Saint Martin,Bowmanfurt
2006-08-12,5552328,theory,than,cost,269.01,13,Ecuador,East Christopherfurt
1998-03-04,5079240,race,line,boy,230.5,44,United States of America,New Mikeport
2010-11-18,9629615,whatever,four,baby,311.15,72,Bosnia and Herzegovina,Stuartburgh
2000-04-20,7759353,teach,expect,every,411.01,32,Eritrea,Jimmyshire
2015-06-28,6052308,cup,green,its,224.11,50,Lesotho,Younghaven
2014-04-15,3164505,pick,animal,Democrat,481.95,85,Liberia,Lake Erikafurt
2003-09-23,6469619,indicate,unit,similar,993.82,95,Suriname,North Jimmy
1992-02-19,3816867,who,which,least,452.47,4,Korea,West Lisaton
2001-02-01,8586950,surface,walk,whole,886.06,84,Northern Mariana Islands,Tylerchester
1972-07-20,3881852,new,with,although,467.85,4,Guyana,West Brianchester
2007-03-18,429630,health,instead,help,256.19,97,United States Virgin Islands,North Iantown
1979-02-04,4603877,offer,continue,run,829.01,3,Zambia,North Crystal
1988-03-19,4342954,she,majority,enjoy,575.14,90,Niue,Gallowaymouth
2016-07-03,9864704,describe,seek,but,92.11,40,New Zealand,Ryanview
1970-10-29,8300927,source,process,doctor,477.1,42,Tokelau,Rayshire
1972-09-17,2804641,enough,season,admit,300.97,85,Iceland,Harmonburgh
2005-04-30,3400600,night,station,international,257.58,52,Timor-Leste,Petersenhaven
1974-08-25,154780,economy,show,man,281.21,20,Lesotho,New William
1993-10-31,6734067,ahead,miss,risk,496.63,3,Sudan,West Lisa
1999-11-06,5237859,trip,agree,add,845.61,62,Cape Verde,North Andretown
1989-09-04,9621408,me,heart,yourself,83.15,35,Kazakhstan,New Taylorfurt
2001-10-14,5370762,now,happen,land,265.59,25,Thailand,Port Alexander
